COD MACROMOTIVO;MACROMOTIVO;MOTIVO GENERAL;"MOTIVO
 ESPECÍFICO 
COPIAR Y PEGAR EN PQRD";TIPO DE MOTIVO ESPECÍFICO;SUBTIPO DE MOTIVO ESPECÍFICO;Clasificación Riesgo
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS;"MEDICINA GENERAL
ODONTOLOGÍA GENERAL
ESPECIALIDADES MÉDICAS
ESPECIALIDADES ODONTOLOGÍA
PSICOLOGÍA
NUTRICIÓN
ENFERMERÍA
FISIOTERAPIA
FONOAUDIOLOGÍA
VACUNACIÓN
SEGURIDAD Y SALUD EN EL TRABAJO
OPTOMETRÍA
JUNTA MÉDICA
BIOÉTICA";"LISTADO ESPECIALIDADES MÉDICAS:
ALERGOLOGÍA
ANESTESIOLOGÍA
ANESTESIOLOGÍA CARDIOTORÁXICA
ANESTESIOLOGÍA CARDIOVASCULAR
ARTROCOSPIA - ORTOPEDIA
CARDIOLOGÍA
CARDIOLOGÍA INTERVENCIONISTA Y HEMODINAMIA
CARDIOLOGÍA PEDIÁTRICA
CIRUGÍA CABEZA Y CUELLO - OTORRINOLARINGOLOGÍA
CIRUGÍA CARDIOVASCULAR
CIRUGÍA CRANEOFACIAL
CIRUGÍA DE CADERA
CIRUGÍA DE MAMA Y TEJIDOS BLANDOS - MASTOLOGÍA
CIRUGÍA DE MANO - ORTOPEDIA O CIRUGÍA PLASTICA
CIRUGÍA DE PIE Y TOBILLO - ORTOPEDIA
CIRUGÍA DE RODILLA - ORTOPEDIA
CIRUGÍA DE TÓRAX
CIRUGÍA DE TRASPLANTE
CIRUGÍA ENDOSCÓPICA GINECOLÓGICA
CIRUGÍA GASTROINTESTINAL
CIRUGÍA GASTROINTESTINAL Y ENDOSCOPIA DIGESTIVA
CIRUGÍA GENERAL
CIRUGÍA LAPAROSCÓPICA
CIRUGÍA MAXILOFACIAL
CIRUGÍA ONCOLÓGICA
CIRUGÍA PEDIÁTRICA
CIRUGÍA PLÁSTICA ONCOLÓGICA
CIRUGIA PLÁSTICA, ESTETICA Y RECONSTRUCTIVA
CIRUGÍA VASCULAR
CIUDADO INTENSIVO PEDIÁTRICO
COLOPROCTOLOGÍA
CUIDADO INTENSIVO
DERMATOLOGÍA
DERMATOLOGÍA ONCOLÓGICA
DOLOR Y CUIDADOS PALIATIVOS
ECOCARDIOGRAFÍA
ELECTROFISIOLOGÍA CARDÍACA
EMERGENCIOLOGÍA
ENDOCRINOLOGÍA
ENDOCRINOLOGÍA PEDIÁTRICA
FARMACOLOGÍA CLÍNICA
GASTROENTEROLOGÍA
GASTROENTEROLOGÍA PEDIÁTRICA
GENÉTICA MÉDICA
GERIATRÍA
GINECOLOGÍA ONCOLÓGICA
GINECOLOGÍA Y OBSTETRICIA
HEMATOLOGÍA
HEMATOLOGÍA PEDIÁTRICA
HEMATO-ONCOLOGÍA - ONCOHEMATOLOGÍA
HEMATO-ONCOLOGIA PEDIÁTRICA - ONCOHEMATOLOGÍA PEDIÁTRICA
HEMODINAMIA
HEPATOLOGÍA
INFECTOLOGÍA
MEDICINA AEROESPACIAL
MEDICINA ALETERNATIVA
MEDICINA DEL DEPORTE
MEDICINA DEL TRABAJO O SEGURIDAD Y SALUD EN EL TRABAJO
MEDICINA ESTÉTICA
MEDICINA FAMILIAR
MEDICINA FÍSICA Y REHABILITACIÓN - FISIATRÍA
MEDICINA FORENSE
MEDICINA INTERNA
MEDICINA NUCLEAR
MIEMBRO SUPERIOR - ORTOPEDIA
NEFROLOGÍA
NEFROLOGÍA PEDIATRICA
NEONATOLOGÍA
NEUMOLOGÍA
NEUMOLOGÍA PEDIÁTRICA
NEUROCIRUGÍA
NEUROLOGÍA
NEUROLOGÍA PEDIÁTRICA - NEUROPEDIATRIA
OCULOPLASTIA
OFTALMOLOGÍA
ONCOLOGÍA
ONCOLOGÍA PEDIÁTRICA
ORTOPEDIA Y TRAUMATOLOGÍA
ORTOPEDIA Y TRAUMATOLOGIA PEDIÁTRICA
OTORRINOLARINGOLOGÍA
PATOLOGÍA
PEDIATRÍA
PSIQUIATRÍA
PSIQUIATRÍA PEDIÁTRICA
PSQUIATRÍA DE ENLACE
RADIOLOGÍA E IMÁGENES DIAGNÓSTICAS
RADIOTERAPIA
REUMATOLOGÍA
REUMATOLOGÍA PEDIÁTRICA
SALUD FAMILIAR Y COMUNITARIA
SEXOLOGÍA CLÍNICA
TOXICOLOGÍA CLÍNICA
TRASPLANTES
UROLOGÍA

LISTADO ESPECIALIDADES ODONTOLÓGICAS:
CIRUGÍA MAXILOFACIAL
CIRUGÍA MAXILOFACIAL - CIRUGÍA ORAL
ENDODONCIA
ESTOMATOLOGÍA
ESTOMATOLOGÍA PEDIÁTRICA
ESTOMATOLOGIA Y CIRUGÍA ORAL
IMPLANTOLOGÍA
ODONTOLOGÍA DE ADOLESCENTE
ODONTOLOGÍA FORENSE
ODONTOPEDIATRÍA
OPERATORIA Y ESTÉTICA DENTAL
ORTODONCIA
PATOLOGÍA ORAL
PERIODONCIA
PROSTODONCIA
RADIOLOGÍA ORAL Y MAXILOFACIAL
REHABILITACIÓN ORAL";Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD PARA SERVICIOS DE COMPLEMENTACIÓN TERAPÉUTICA;"TERAPIA FÍSICA
TERAPIA RESPIRATORIA
TERAPIA OCUPACIONAL
TERAPIA INTEGRAL
PSICOTERAPIA
TERAPIA LENGUAJE
TRABAJO SOCIAL
TERAPIA ALTERNATIVA
OTRAS TERAPIAS";;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD;"URGENCIAS
HOSPITALIZACIÓN
*UNIDAD DE CUIDADO INTENSIVO
*UNIDAD DE CUIDADO INTERMEDIO
ATENCIÓN DOMICILIARIA
UNIDAD DE CUIDADO CRÓNICO
EUTANASIA - SUICIDIO ASISTIDO
PROCEDIMIENTOS NO QUIRÚRGICOS
PROCEDIMIENTOS QUIRÚRGICOS";"PROCEDIMIENTOS NO QUIRÚRGICOS:
IMAGENOLOGÍA
LABORATORIO CLÍNICO Y ANATOMOPATOLÓGICO
QUIMIOTERAPIA
RADIOTERAPIA
DIÁLISIS 
OTROS PROCEDIMIENTOS NO QUIRÚRGICOS

PROCEDIMIENTOS QUIRÚRGICOS:
TRASPLANTE
INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO IVE
OTROS PROCEDIMIENTOS QUIRÚRGICOS";Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE TECNOLOGÍAS EN SALUD Y/O PRESTACIÓN DE OTROS SERVICIOS;"MEDICAMENTOS UPC
MEDICAMENTOS NO UPC
DISPOSITIVOS MÉDICOS UPC
DISPOSITIVOS MÉDICOS NO UPC
SUMINISTRO DE OXÍGENO
SOPORTE NUTRICIONAL
ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO (PAÑALES, PAÑITOS, ETC.)
TRANSPORTE, ALOJAMIENTO Y ALIMENTACIÓN.";;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARREFERENCIA;;;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN EL TRASLADO EN AMBULANCIA;"*BÁSICA HOSPITALARIA
BÁSICA AMBULATORIA
*MEDICALIZADA HOSPITALARIA
MEDICALIZADA AMBULATORIA";;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";FALTA DE OPORTUNIDAD EN LA PRESTACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;FALTA DE OPORTUNIDAD EN LA RESPUESTA DE LA JUNTA MÉDICA O COMITÉ PARA TECNOLOGÍAS EN SALUD Y OTROS SERVICIOS;;;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";NEGACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS;"MEDICINA GENERAL
ODONTOLOGÍA GENERAL
ESPECIALIDADES MÉDICAS
ESPECIALIDADES ODONTOLOGÍA
PSICOLOGÍA
NUTRICIÓN
ENFERMERÍA
FISIOTERAPIA
FONOAUDIOLOGÍA
VACUNACIÓN
SEGURIDAD Y SALUD EN EL TRABAJO
OPTOMETRÍA
JUNTA MÉDICA
BIOÉTICA";"LISTADO ESPECIALIDADES MÉDICAS:
ALERGOLOGÍA
ANESTESIOLOGÍA
ANESTESIOLOGÍA CARDIOTORÁXICA
ANESTESIOLOGÍA CARDIOVASCULAR
ARTROCOSPIA - ORTOPEDIA
CARDIOLOGÍA
CARDIOLOGÍA INTERVENCIONISTA Y HEMODINAMIA
CARDIOLOGÍA PEDIÁTRICA
CIRUGÍA CABEZA Y CUELLO - OTORRINOLARINGOLOGÍA
CIRUGÍA CARDIOVASCULAR
CIRUGÍA CRANEOFACIAL
CIRUGÍA DE CADERA
CIRUGÍA DE MAMA Y TEJIDOS BLANDOS - MASTOLOGÍA
CIRUGÍA DE MANO - ORTOPEDIA O CIRUGÍA PLASTICA
CIRUGÍA DE PIE Y TOBILLO - ORTOPEDIA
CIRUGÍA DE RODILLA - ORTOPEDIA
CIRUGÍA DE TÓRAX
CIRUGÍA DE TRASPLANTE
CIRUGÍA ENDOSCÓPICA GINECOLÓGICA
CIRUGÍA GASTROINTESTINAL
CIRUGÍA GASTROINTESTINAL Y ENDOSCOPIA DIGESTIVA
CIRUGÍA GENERAL
CIRUGÍA LAPAROSCÓPICA
CIRUGÍA MAXILOFACIAL
CIRUGÍA ONCOLÓGICA
CIRUGÍA PEDIÁTRICA
CIRUGÍA PLÁSTICA ONCOLÓGICA
CIRUGIA PLÁSTICA, ESTETICA Y RECONSTRUCTIVA
CIRUGÍA VASCULAR
CIUDADO INTENSIVO PEDIÁTRICO
COLOPROCTOLOGÍA
CUIDADO INTENSIVO
DERMATOLOGÍA
DERMATOLOGÍA ONCOLÓGICA
DOLOR Y CUIDADOS PALIATIVOS
ECOCARDIOGRAFÍA
ELECTROFISIOLOGÍA CARDÍACA
EMERGENCIOLOGÍA
ENDOCRINOLOGÍA
ENDOCRINOLOGÍA PEDIÁTRICA
FARMACOLOGÍA CLÍNICA
GASTROENTEROLOGÍA
GASTROENTEROLOGÍA PEDIÁTRICA
GENÉTICA MÉDICA
GERIATRÍA
GINECOLOGÍA ONCOLÓGICA
GINECOLOGÍA Y OBSTETRICIA
HEMATOLOGÍA
HEMATOLOGÍA PEDIÁTRICA
HEMATO-ONCOLOGÍA - ONCOHEMATOLOGÍA
HEMATO-ONCOLOGIA PEDIÁTRICA - ONCOHEMATOLOGÍA PEDIÁTRICA
HEMODINAMIA
HEPATOLOGÍA
INFECTOLOGÍA
MEDICINA AEROESPACIAL
MEDICINA ALETERNATIVA
MEDICINA DEL DEPORTE
MEDICINA DEL TRABAJO O SEGURIDAD Y SALUD EN EL TRABAJO
MEDICINA ESTÉTICA
MEDICINA FAMILIAR
MEDICINA FÍSICA Y REHABILITACIÓN - FISIATRÍA
MEDICINA FORENSE
MEDICINA INTERNA
MEDICINA NUCLEAR
MIEMBRO SUPERIOR - ORTOPEDIA
NEFROLOGÍA
NEFROLOGÍA PEDIATRICA
NEONATOLOGÍA
NEUMOLOGÍA
NEUMOLOGÍA PEDIÁTRICA
NEUROCIRUGÍA
NEUROLOGÍA
NEUROLOGÍA PEDIÁTRICA - NEUROPEDIATRIA
OCULOPLASTIA
OFTALMOLOGÍA
ONCOLOGÍA
ONCOLOGÍA PEDIÁTRICA
ORTOPEDIA Y TRAUMATOLOGÍA
ORTOPEDIA Y TRAUMATOLOGIA PEDIÁTRICA
OTORRINOLARINGOLOGÍA
PATOLOGÍA
PEDIATRÍA
PSIQUIATRÍA
PSIQUIATRÍA PEDIÁTRICA
PSQUIATRÍA DE ENLACE
RADIOLOGÍA E IMÁGENES DIAGNÓSTICAS
RADIOTERAPIA
REUMATOLOGÍA
REUMATOLOGÍA PEDIÁTRICA
SALUD FAMILIAR Y COMUNITARIA
SEXOLOGÍA CLÍNICA
TOXICOLOGÍA CLÍNICA
TRASPLANTES
UROLOGÍA

LISTADO ESPECIALIDADES ODONTOLÓGICAS:
CIRUGÍA MAXILOFACIAL
CIRUGÍA MAXILOFACIAL - CIRUGÍA ORAL
ENDODONCIA
ESTOMATOLOGÍA
ESTOMATOLOGÍA PEDIÁTRICA
ESTOMATOLOGIA Y CIRUGÍA ORAL
IMPLANTOLOGÍA
ODONTOLOGÍA DE ADOLESCENTE
ODONTOLOGÍA FORENSE
ODONTOPEDIATRÍA
OPERATORIA Y ESTÉTICA DENTAL
ORTODONCIA
PATOLOGÍA ORAL
PERIODONCIA
PROSTODONCIA
RADIOLOGÍA ORAL Y MAXILOFACIAL
REHABILITACIÓN ORAL";Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";NEGACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;NEGACIÓN DE SERVICIOS DE COMPLEMENTACIÓN TERAPÉUTICA;"TERAPIA FÍSICA
TERAPIA RESPIRATORIA
TERAPIA OCUPACIONAL
TERAPIA INTEGRAL
PSICOTERAPIA
TERAPIA LENGUAJE
TRABAJO SOCIAL
TERAPIA ALTERNATIVA
OTRAS TERAPIAS";;Puede ser vital, priorizado o simple
"01

";"BARRERAS EN EL ACCESO A TECNOLOGÍAS Y SERVICIOS DE SALUD; Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO";NEGACIÓN DE TECNOLOGÍAS EN SALUD Y OTROS ELEMENTOS COMPLEMENTARIOS PARA LA ATENCIÓN DEL USUARIO;NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD;"*URGENCIAS
HOSPITALIZACIÓN
*UNIDAD DE CUIDADO INTENSIVO
*UNIDAD DE CUIDADO INTERMEDIO
ATENCIÓN DOMICILIARIA
UNIDAD DE CUIDADO CRÓNICO
EUTANASIA - SUICIDIO ASISTIDO
PROCEDIMIENTOS NO QUIRÚRGICOS
PROCEDIMIENTOS QUIRÚRGICOS";"PROCEDIMIENTOS NO QUIRÚRGICOS:
IMAGENOLOGÍA
LABORATORIO CLÍNICO Y ANATOMOPATOLÓGICO
QUIMIOTERAPIA
RADIOTERAPIA
DIÁLISIS
OTROS PROCEDIMIENTOS NO QUIRÚRGICOS

PROCEDIMIENTOS QUIRÚRGICOS:
TRASPLANTE
INTERRUPCIÓN VOLUNTARIA DEL EMBARAZO IVE
OTROS PROCEDIMIENTOS QUIRÚRGICOS";"(marcación automatica urgencias Unidad de cuidado intensivo e intermedio)
Puede ser vital, priorizado o simple"
